Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
baumgke01,22,Ken Baumgartner,25,TOR,LW,65,1.4,3.2,4.6,-8.8,213.8,-0.7,1.4,0,0,0,3.2,0,0,32.4,4.12
sheehne01,552,Neil Sheehy,30,CGY,D,47,1,3.5,4.5,0.5,205,1.75,1,0,0,0,3.5,0,0,25.5,4.2
chaseke01,89,Kelly Chase,24,STL,RW,41.6,1.4,3,4.4,-4,201,-0.68,1.4,0,0,0.2,3,0,0,24.8,25.02
grimsst01,221,Stu Grimson,26,MDA,LW,49.4,0.8,1.8,2.6,-2,165.2,-0.92,0.6,0.2,0,0,1.8,0,0,17,4.675
cronish01,117,Shawn Cronin,28,SJS,D,52.4,0.6,3.2,3.8,-7,163.2,1.68,0.6,0,0,0,3,0,0.2,24.2,3.84
ciccoen01,110,Enrico Ciccone,22,WSH,D,33,0.333333333,1,1.333333333,-1.333333333,129.6666667,1.166666667,0.333333333,0,0,0,1,0,0,16,1
pilonri01,483,Rich Pilon,23,NYI,D,42.2,0.8,3.8,4.6,-3.8,115.8,1.32,0.8,0,0,0,3.8,0,0,21,3.34
twistto01,619,Tony Twist,23,QUE,LW,35.8,0,1.4,1.4,-2,111.4,0.04,0,0,0,0,1.4,0,0,8.4,0
potvima01,482,Marc Potvin,25.5,HAR,RW,22,0.75,1,1.75,-6,110,-0.55,0.75,0,0,0,1,0,0,12.5,8.175
